	"nยบ of PcG 
target proteins"	"PcG enrichment 
p-value"	"TSS distance to 
closest PRE"
dme-miR-210-3p.2	5	0.0023650092101298445	1952.0
dme-miR-2498-5p	4	0.004125593196931349	75.0
dme-miR-289-5p	15	0.00015919359780682552	2329.0
dme-miR-310-3p	7	0.00235218125474991	356.0
dme-miR-311-3p	7	0.002555807451117309	236.0
dme-miR-312-3p	7	0.0026342284454964823	75.0
dme-miR-313-3p	7	0.0026003910844594985	0.0
dme-miR-375-5p	4	0.0069048190101608335	4942.0
dme-miR-4910-5p	10	0.006977631195465978	870.0
dme-miR-92a-3p	7	0.0025337423725016045	423.0
dme-miR-92b-3p	7	0.0025118274926804796	3070.0
dme-miR-972-3p	7	0.005965420562190312	635.0
dme-miR-972-5p	14	0.0008136417840830204	635.0
